date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:27	111/111	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_75_dadada_1x400.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_75_dadada_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:32	105/105	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:33	120/120	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_55_fbf9ee_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:33	119/119	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:35	4369/4369	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_222222_256x240.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_222222_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:37	4369/4369	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_888888_256x240.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_888888_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:41	4369/4369	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_454545_256x240.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_454545_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:43	4369/4369	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_2e83ff_256x240.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_2e83ff_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:45	4369/4369	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_cd0a0a_256x240.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-icons_cd0a0a_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:48	180/180	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/Users/Home%20PC/Desktop/serviceVm/ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/images/ui-bg_flat_0_aaaaaa_40x100.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.10.1/themes/base/jquery-ui.css)
12:51:52	12179/12179	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212179-1597561250147%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.eot	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.eot	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:51:55	12179/12179	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212179-1597561250147%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.eot?	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfontd41d.eot	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:51:59	14552/14552	---M--	200	added ('OK')	application/x-font-woff	etag:W/%2214552-1597561250147%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.woff	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.woff	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:01	24616/24616	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%2224616-1597561250147%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.ttf	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.ttf	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:04	31258/31258	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2231258-1597561250147%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.svg	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/fonts/nevis-webfont.svg	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:05	291/291	---M--	200	added ('OK')	image/png	etag:W/%22291-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/bg_main.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/bg_main.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:08	1023/1023	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2007:22:08%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/PIE.htc	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/PIE.28.delayed	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
